Location,Lure,Moths
Top,Scent,28
Top,Sugar,35
Top,Chemical,32
Top,Scent,19
Top,Sugar,22
Top,Chemical,29
Top,Scent,32
Top,Sugar,33
Top,Chemical,16
Top,Scent,15
Top,Sugar,21
Top,Chemical,18
Top,Scent,13
Top,Sugar,17
Top,Chemical,20
Middle,Scent,39
Middle,Sugar,36
Middle,Chemical,37
Middle,Scent,12
Middle,Sugar,38
Middle,Chemical,40
Middle,Scent,42
Middle,Sugar,44
Middle,Chemical,18
Middle,Scent,25
Middle,Sugar,27
Middle,Chemical,28
Middle,Scent,21
Middle,Sugar,22
Middle,Chemical,36
Lower,Scent,44
Lower,Sugar,42
Lower,Chemical,35
Lower,Scent,21
Lower,Sugar,17
Lower,Chemical,39
Lower,Scent,38
Lower,Sugar,31
Lower,Chemical,41
Lower,Scent,32
Lower,Sugar,29
Lower,Chemical,31
Lower,Scent,29
Lower,Sugar,37
Lower,Chemical,34
Ground,Scent,17
Ground,Sugar,18
Ground,Chemical,22
Ground,Scent,12
Ground,Sugar,27
Ground,Chemical,25
Ground,Scent,23
Ground,Sugar,15
Ground,Chemical,14
Ground,Scent,19
Ground,Sugar,29
Ground,Chemical,16
Ground,Scent,14
Ground,Sugar,16
Ground,Chemical,19